[17-Aug-2016 19:05:58 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Register__Now__Support' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[17-Aug-2016 19:05:59 UTC] PHP Notice:  Undefined index: register-now-common-info in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 226
[17-Aug-2016 19:05:59 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Register__Now__Support' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[17-Aug-2016 19:08:36 UTC] PHP Notice:  Undefined index: register-now-common-info in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 225
[17-Aug-2016 19:08:36 UTC] PHP Warning:  require_once(/autoloader.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 225
[17-Aug-2016 19:08:36 UTC] PHP Fatal error:  require_once(): Failed opening required '/autoloader.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 225
[17-Aug-2016 19:21:00 UTC] PHP Notice:  Undefined index: register-now-common-info in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 227
[17-Aug-2016 19:21:00 UTC] PHP Warning:  require_once(/autoloader.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 227
[17-Aug-2016 19:21:00 UTC] PHP Fatal error:  require_once(): Failed opening required '/autoloader.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 227
[17-Aug-2016 19:21:03 UTC] PHP Notice:  Undefined index: register-now-common-info in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 227
[17-Aug-2016 19:21:03 UTC] PHP Warning:  require_once(/autoloader.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 227
[17-Aug-2016 19:21:03 UTC] PHP Fatal error:  require_once(): Failed opening required '/autoloader.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 227
[17-Aug-2016 19:22:54 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Register__Now__Support' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[17-Aug-2016 19:22:55 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Register__Now__Support' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[17-Aug-2016 19:26:00 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Register__Now__Support' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[17-Aug-2016 19:26:00 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Register__Now__Support' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[17-Aug-2016 19:26:16 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Register__Now__Support' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[17-Aug-2016 19:26:16 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Register__Now__Support' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[17-Aug-2016 19:39:31 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Register__Now__Support' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[17-Aug-2016 19:39:31 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Register__Now__Support' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[17-Aug-2016 19:39:31 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Register__Now__Support' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[17-Aug-2016 19:43:18 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Tribe__Supports' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[17-Aug-2016 19:43:18 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Register__Now__Support' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[17-Aug-2016 19:43:19 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Tribe__Supports' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[17-Aug-2016 19:43:19 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Register__Now__Support' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[18-Aug-2016 14:10:15 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Register__Now__Support' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[18-Aug-2016 14:10:16 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Register__Now__Support' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[18-Aug-2016 14:10:17 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Register__Now__Support' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[18-Aug-2016 14:10:21 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Register__Now__Support' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[18-Aug-2016 14:12:18 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 337
[18-Aug-2016 14:16:45 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 337
[18-Aug-2016 14:33:10 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 337
[18-Aug-2016 14:33:20 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 337
[18-Aug-2016 14:34:31 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 337
[18-Aug-2016 14:35:02 UTC] PHP Fatal error:  Class 'Register__Now__Settings' not found in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php on line 337
